OBJECTID,NAMELONG,GLEVEL,PHONE,PROJ_CAP,IS_MAGNET,CITY,EXISTING,NAMESHORT,LOGRADE,HIGRADE,CALENDAR,ADDRNUMBER,ADDRROOT,ADDRCITY_1,ADDRZIPCOD,APPTYPE,CAPACITYTO,TEMPCLASSR,STATUS,IS_TITLE1,WEBSITE,TAG,SCHOOLID,LEACODE,CODEN,OBJECTID_1,DISTRICT,NAME,TITLE,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,Shape__Are,Shape__Len,COUNT
1,Swift Creek Elementary,E,919-233-4320,494,N,WAKE COUNTY,YES,SWIFT CREEK ES,KI,5,T,5601,Tryon Rd,Raleigh,27606,N,531,2,E,N,http://www.wcpss.net/swiftcreekes,568,568,920568,568,2,5,Jim Martin,,,,BSTRAUSS,2017-09-27T13:17:43.000Z,0.01631,0.78331,17
2,Briarcliff Elementary,E,919-460-3443,563,N,CARY,YES,BRIARCLIFF ES,KI,5,T,1220,Pond St,Cary,27511,N,605,4,E,N,http://www.wcpss.net/briarcliffes,340,340,920340,340,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
3,Farmington Woods Elementary,E,919-460-3469,681,Y,CARY,YES,FARMINGTON WOODS ES,KI,5,T,1413,Hampton Valley Rd,Cary,27511,M,719,10,E,N,http://www.wcpss.net/farmingtonwoodses,414,414,920414,414,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
4,Cary High,H,919-460-3549,2223,N,CARY,YES,CARY HS,9,12,T,638,Walnut St,Cary,27511,N,2193,0,H,N,http://www.wcpss.net/caryhs,368,368,920368,368,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
5,Adams Elementary,E,919-460-3431,843,N,CARY,YES,ADAMS ES,KI,5,Y,805,Cary Towne Blvd,Cary,27511,N,765,8,E,N,http://www.wcpss.net/adamses,304,304,920304,304,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
6,Apex Elementary,E,919-387-2150,609,N,APEX,YES,APEX ES,KI,5,T,700,Tingen Rd,Apex,27502,N,637,4,E,N,http://www.wcpss.net/apexes,308,308,920308,308,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
7,Apex High,H,919-387-2208,1663,N,APEX,YES,APEX HS,9,12,T,1501,Laura Duncan Rd,Apex,27502,N,2143,21,H,N,http://www.wcpss.net/apexhs,316,316,920316,316,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
8,Kingswood Elementary,E,919-460-3481,390,Y,CARY,YES,KINGSWOOD ES,KI,5,T,200,E Johnson St,Cary,27513,M,390,0,E,Y,http://www.wcpss.net/kingswoodes,460,460,920460,460,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
9,Northwoods Elementary,E,919-460-3491,747,N,CARY,YES,NORTHWOODS ES,KI,5,T,8850,Chapel Hill Rd,Cary,27513,N,540,3,E,N,http://www.wcpss.net/northwoodses,520,520,920520,520,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
10,Combs Elementary,E,919-233-4300,673,Y,RALEIGH,YES,COMBS ES,KI,5,T,2001,Lorimer Rd,Raleigh,27606,M,811,13,E,N,http://www.wcpss.net/combses,376,376,920376,376,2,5,Jim Martin,,,,BSTRAUSS,2017-09-27T13:17:43.000Z,0.01631,0.78331,17
11,Athens Drive High,H,919-233-4050,2095,Y,RALEIGH,YES,ATHENS DR HS,9,12,T,1420,Athens Dr,Raleigh,27606,M,2201,23,H,N,http://www.wcpss.net/athensdrivehs,318,318,920318,318,2,5,Jim Martin,,,,BSTRAUSS,2017-09-27T13:17:43.000Z,0.01631,0.78331,17
12,Broughton High,H,919-856-7810,1799,Y,RALEIGH,YES,BROUGHTON HS,9,12,T,723,St Mary's St,Raleigh,27605,M,2087,12,H,N,http://www.wcpss.net/broughtonhs,348,348,920348,348,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
13,Powell Elementary,E,919-856-7737,458,Y,RALEIGH,YES,POWELL ES,KI,5,T,1130,Marlborough Rd,Raleigh,27610,M,449,0,E,Y,http://www.wcpss.net/powelles,536,536,920536,536,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
14,Mary E. Phillips High School,S,919-856-7710,138,N,RALEIGH,YES,PHILLIPS HS,9,12,T,1923,Milburnie Rd,Raleigh,27610,N,138,1,O,Y,http://www.wcpss.net/phillipshs,528,528,920528,528,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
15,Ligon Middle,M,919-856-7929,1137,Y,RALEIGH,YES,LIGON MS,6,8,T,706,E Lenoir St,Raleigh,27601,M,1188,3,M,N,http://www.wcpss.net/ligonms,472,472,920472,472,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
16,Washington Elementary,E,919-856-7960,569,Y,RALEIGH,YES,WASHINGTON ES,KI,5,T,1000,Fayetteville St,Raleigh,27601,M,535,0,E,N,http://www.wcpss.net/washingtones,596,596,920596,596,2,5,Jim Martin,,,,BSTRAUSS,2017-09-27T13:17:43.000Z,0.01631,0.78331,17
17,Carnage Middle,M,919-856-7600,981,Y,RALEIGH,YES,CARNAGE MS,6,8,T,1425,Carnage Dr,Raleigh,27610,M,1058,3,M,N,http://www.wcpss.net/carnagems,356,356,920356,356,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
18,Daniels Middle,M,919-881-4860,1085,Y,RALEIGH,YES,DANIELS MS,6,8,T,2816,Oberlin Rd,Raleigh,27608,M,1171,6,M,N,http://www.wcpss.net/danielsms,388,388,920388,388,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
19,Root Elementary,E,919-881-4940,494,N,RALEIGH,YES,ROOT ES,KI,5,T,3202,Northampton St,Raleigh,27609,N,508,0,E,N,http://www.wcpss.net/rootes,548,548,920548,548,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
20,Lynn Road Elementary,E,919-870-4074,770,N,RALEIGH,YES,LYNN RD ES,KI,5,T,1601,Lynn Rd,Raleigh,27612,N,543,0,E,Y,http://www.wcpss.net/lynnroades,488,488,920488,488,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
21,Brooks Elementary,E,919-881-1350,477,Y,RALEIGH,YES,BROOKS ES,KI,5,T,700,Northbrook Dr,Raleigh,27609,M,598,40,E,N,http://www.wcpss.net/brookses,344,344,920344,344,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
22,Carroll Middle,M,919-881-1370,825,Y,RALEIGH,YES,CARROLL MS,6,8,T,4520,Six Forks Rd,Raleigh,27609,M,868,0,M,N,http://www.wcpss.net/carrollms,360,360,920360,360,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
23,Douglas Elementary,E,919-881-4894,630,Y,RALEIGH,YES,DOUGLAS ES,KI,5,T,600,Ortega Rd,Raleigh,27609,M,630,10,E,N,http://www.wcpss.net/douglases,396,396,920396,396,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
24,Millbrook Elementary,E,919-850-8700,711,Y,RALEIGH,YES,MILLBROOK ES,KI,5,T,1520,E Millbrook Rd,Raleigh,27609,M,711,3,E,Y,http://www.wcpss.net/millbrookes,496,496,920496,496,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
25,Wilburn Elementary,E,919-850-8738,869,N,RALEIGH,YES,WILBURN ES,KI,5,Y4,3707,Marsh Creek Rd,Raleigh,27604,N,708,0,E,Y,http://www.wcpss.net/wilburnes,616,616,920616,616,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
26,East Millbrook Middle,M,919-850-8755,952,Y,RALEIGH,YES,E MILLBROOK MS,6,8,T,3801,Spring Forest Rd,Raleigh,27616,M,1108,6,M,N,http://www.wcpss.net/eastmillbrookms,408,408,920408,408,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
27,Fox Road Elementary,E,919-850-8845,658,Y,RALEIGH,YES,FOX RD ES,KI,5,T,7101,Fox Rd,Raleigh,27616,M,616,13,E,Y,http://www.wcpss.net/foxroades,415,415,920415,415,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
28,Lead Mine Elementary,E,919-870-4120,609,N,RALEIGH,YES,LEAD MINE ES,KI,5,T,8301,Old Lead Mine Rd,Raleigh,27615,N,563,1,E,N,http://www.wcpss.net/leadminees,470,470,920470,470,5,7,Kathy Hartenstine,,,,LSAGO,2017-03-01T09:19:47.000Z,0.01764,0.8686,15
29,Brassfield Elementary,E,919-870-4080,659,N,WAKE COUNTY,YES,BRASSFIELD ES,KI,5,Y,2001,Brassfield Rd,Raleigh,27614,N,768,5,E,N,http://www.wcpss.net/brassfieldes,334,334,920334,334,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
30,Pleasant Union Elementary,E,919-870-4230,659,N,WAKE COUNTY,YES,PLEASANT UNION ES,KI,5,Y,1900,Pleasant Union Ch Rd,Raleigh,27614,N,678,0,E,N,http://www.wcpss.net/pleasantuniones,531,531,920531,531,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
31,Fuquay-Varina Middle,M,919-557-2727,903,N,FUQUAY-VARINA,YES,FUQUAY-VARINA MS,6,8,T,109,N Ennis St,Fuquay-Varina,27526,N,903,0,M,N,http://www.wcpss.net/fuquayvarinams,424,424,920424,424,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
32,Rand Road Elementary,E,919-662-2275,678,N,GARNER,YES,RAND RD ES,KI,5,Y4,300,Arbor Greene Dr,Garner,27529,N,678,8,E,N,http://www.wcpss.net/randroades,540,540,920540,540,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
33,Bugg Elementary,E,919-250-4750,607,Y,RALEIGH,YES,BUGG ES,KI,5,T,825,Cooper Rd,Raleigh,27610,M,552,0,E,Y,http://www.wcpss.net/bugges,352,352,920352,352,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
34,Lockhart Elementary,E,919-266-8525,678,N,KNIGHTDALE,YES,LOCKHART ES,KI,5,Y4,1320,N Smithfield Rd,Knightdale,27545,N,721,13,E,Y,http://www.wcpss.net/lockhartes,480,480,920480,480,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
35,East Wake High,H,919-365-2625,1753,N,WAKE COUNTY,YES,E WAKE HS,9,12,T,5101,Rolesville Rd,Wendell,27591,N,1753,7,H,N,http://www.wcpss.net/eastwakehs,411,411,920411,411,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
36,Wendell Elementary,E,919-365-2660,515,Y,WENDELL,YES,WENDELL ES,KI,5,T,3355,Wendell Blvd,Wendell,27591,M,492,2,E,Y,http://www.wcpss.net/wendelles,600,600,920600,600,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
37,Zebulon Middle,M,919-404-3630,903,Y,ZEBULON,YES,ZEBULON MS,6,8,T,1000,Shepard School Rd,Zebulon,27597,M,958,4,M,N,http://www.wcpss.net/zebulonms,636,636,920636,636,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
38,East Wake Middle,M,919-266-8500,1111,N,KNIGHTDALE,YES,E WAKE MS,6,8,Y4,2700,Old Milburnie Rd,Raleigh,27604,N,1006,12,M,N,http://www.wcpss.net/eastwakems,410,410,920410,410,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
39,Rolesville Elementary,E,919-554-8686,609,N,ROLESVILLE,YES,ROLESVILLE ES,KI,5,T,307,S Main St,Rolesville,27571,N,655,16,E,N,http://www.wcpss.net/rolesvillees,544,544,920544,544,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
40,Wake Forest Elementary,E,919-554-8655,655,N,WAKE FOREST,YES,WAKE FOREST ES,KI,5,T,136,W Sycamore Ave,Wake Forest,27587,N,623,0,E,Y,http://www.wcpss.net/wakeforestes,584,584,920584,584,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
41,Wake Forest Middle,M,919-554-8440,1059,N,WAKE FOREST,YES,WAKE FOREST MS,6,8,T,1800,S Main St,Wake Forest,27587,N,1241,13,M,N,http://www.wcpss.net/wakeforestms,592,592,920592,592,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
42,Durant Road Elementary,E,919-870-4220,935,N,RALEIGH,YES,DURANT RD ES,KI,5,Y,9901,Durant Rd,Raleigh,27614,N,788,12,E,N,http://www.wcpss.net/durantroades,398,398,920398,398,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
43,Stough Elementary,E,919-881-4950,540,Y,RALEIGH,YES,STOUGH ES,KI,5,T,4210,Edwards Mill Rd,Raleigh,27612,M,517,7,E,Y,http://www.wcpss.net/stoughes,564,564,920564,564,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
44,York Elementary,E,919-881-4960,586,N,RALEIGH,YES,YORK ES,KI,5,T,5201,Brookhaven Dr,Raleigh,27612,N,554,4,E,Y,http://www.wcpss.net/yorkes,628,628,920628,628,5,7,Kathy Hartenstine,,,,LSAGO,2017-03-01T09:19:47.000Z,0.01764,0.8686,15
45,Jeffreys Grove Elementary,E,919-881-4910,517,Y,RALEIGH,YES,JEFFREYS GROVE ES,KI,5,T,6119,Creedmoor Rd,Raleigh,27612,M,531,3,E,N,http://www.wcpss.net/jeffreysgrovees,452,452,920452,452,5,7,Kathy Hartenstine,,,,LSAGO,2017-03-01T09:19:47.000Z,0.01764,0.8686,15
46,West Lake Elementary,E,919-662-2300,751,N,CARY,YES,W LAKE ES,KI,5,Y,4500,West Lake Rd,Apex,27539,N,901,12,E,N,http://www.wcpss.net/westlakees,606,606,920606,606,2,5,Jim Martin,,,,BSTRAUSS,2017-09-27T13:17:43.000Z,0.01631,0.78331,17
47,Green Hope High,H,919-380-3700,1735,N,CARY,YES,GREEN HOPE HS,9,12,T,2500,Carpenter Upchurch Rd,Cary,27519,N,2581,37,H,N,http://www.wcpss.net/greenhopehs,441,441,920441,441,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
48,Southeast Raleigh High,H,919-856-2800,1546,Y,RALEIGH,YES,SOUTHEAST RALEIGH HS,9,12,M,2600,Rock Quarry Rd,Raleigh,27610,M,1814,13,H,N,http://www.wcpss.net/southeastraleighhs,562,562,920562,562,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
49,ROCK QUARRY SERVICE CENTER,A,919-856-8120,0,,RALEIGH,NO,ROCK QUARRY SVC,,,,1551,Rock Quarry Rd,Raleigh,27610,,0,0,A,,,010,010,920010,10,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
50,Olive Chapel Elementary,E,919-387-4440,843,N,APEX,YES,OLIVE CHAPEL ES,KI,5,Y,1751,Olive Chapel Rd,Apex,27502,N,869,9,E,N,http://www.wcpss.net/olivechapeles,523,523,920523,523,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
51,Carver Elementary,E,919-365-2680,747,N,WENDELL,YES,CARVER ES,KI,5,M,291,Liles-Dean Rd,Wendell,27591,N,632,5,E,Y,http://www.wcpss.net/carveres,362,362,920362,362,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
52,Oak Grove Elementary,E,919-387-4490,774,N,CARY,YES,OAK GROVE ES,KI,5,Y,10401,Penny Rd,Raleigh,27606,N,728,5,E,N,http://www.wcpss.net/oakgrovees,522,522,920522,522,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
53,Apex Middle,M,919-387-2181,1059,N,APEX,YES,APEX MS,6,8,T,400,E Moore St,Apex,27502,N,1127,0,M,N,http://www.wcpss.net/apexms,312,312,920312,312,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
54,Baucom Elementary,E,919-387-2168,770,N,APEX,YES,BAUCOM ES,KI,5,T,400,Hunter St,Apex,27502,N,756,6,E,N,http://www.wcpss.net/baucomes,328,328,920328,328,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
55,Brentwood Elementary,E,919-850-8720,424,Y,RALEIGH,YES,BRENTWOOD ES,KI,5,T,3426,Ingram Dr,Raleigh,27604,M,390,5,E,Y,http://brentwoodes.wix.com/brentwoodes,336,336,920336,336,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
56,East Cary Middle,M,919-466-4377,1293,N,CARY,YES,E CARY MS,6,8,Y,1111,SE Maynard Rd,Cary,27511,N,1201,0,M,N,http://www.wcpss.net/eastcaryms,402,402,920402,402,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
57,Enloe High,H,919-856-7918,2409,Y,RALEIGH,YES,ENLOE HS,9,12,T,128,Clarendon Crescent,Raleigh,27610,M,2457,0,H,N,http://www.wcpss.net/enloehs,412,412,920412,412,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
58,Knightdale Elementary,E,919-266-8540,816,N,KNIGHTDALE,YES,KNIGHTDALE ES,KI,5,T,109,Ridge St,Knightdale,27545,N,667,8,E,Y,http://www.wcpss.net/knightdalees,464,464,920464,464,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
59,Millbrook High,H,919-850-8787,2183,Y,RALEIGH,YES,MILLBROOK HS,9,12,T,2201,Spring Forest Rd,Raleigh,27615,M,2553,17,H,N,http://www.wcpss.net/millbrookhs,500,500,920500,500,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
60,North Ridge Elementary,E,919-870-4100,816,N,RALEIGH,YES,N RIDGE ES,KI,5,T,7120,Harps Mill Rd,Raleigh,27615,N,720,13,E,N,http://www.wcpss.net/northridgees,516,516,920516,516,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
61,Sanderson High,H,919-881-4800,1927,N,RALEIGH,YES,SANDERSON HS,9,12,T,5500,Dixon Dr,Raleigh,27609,N,2023,12,H,N,http://www.wcpss.net/sandersonhs,552,552,920552,552,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
62,Morrisville Elementary,E,919-460-3400,774,N,MORRISVILLE,YES,MORRISVILLE ES,KI,5,Y,1519,Morrisville Pkwy,Morrisville,27560,N,788,5,E,N,http://www.wcpss.net/morrisvillees,504,504,920504,504,5,7,Kathy Hartenstine,,,,LSAGO,2017-03-01T09:19:47.000Z,0.01764,0.8686,15
63,West Cary Middle,M,919-460-3528,1033,N,CARY,YES,W CARY MS,6,8,T,1000,Evans Rd,Cary,27513,N,1075,6,M,N,http://www.wcpss.net/westcaryms,604,604,920604,604,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
64,West Millbrook Middle,M,919-870-4050,955,N,RALEIGH,YES,W MILLBROOK MS,6,8,T,8115,Strickland Rd,Raleigh,27615,N,1101,8,M,N,http://www.wcpss.net/westmillbrookms,608,608,920608,608,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
